epoch,accuracy,loss,val_accuracy,val_loss
0,0.26698097586631775,1.385748028755188,0.27072757482528687,1.3854697942733765
1,0.2956172525882721,1.3559125661849976,0.4483925402164459,1.2516958713531494
2,0.40474942326545715,1.2507400512695312,0.4297800362110138,1.1387014389038086
3,0.45957744121551514,1.152151346206665,0.5109983086585999,0.9755390286445618
4,0.49973809719085693,1.067468523979187,0.5837563276290894,0.9455651044845581
5,0.5629474520683289,0.9759791493415833,0.710659921169281,0.7204259634017944
6,0.6059018969535828,0.9252452254295349,0.6937394142150879,0.6476820707321167
7,0.6219661235809326,0.8769883513450623,0.7648054361343384,0.6256637573242188
8,0.6397764682769775,0.8527663350105286,0.7749577164649963,0.60688316822052
9,0.6614283323287964,0.8141666650772095,0.8054145574569702,0.5924106240272522
